,DSRCT0,DSRCT1,DSRCT2,DSRCT3,DSRCT4,DSRCT5,DSRCT6,DSRCT7,DSRCT8,DSRCT9,DSRCT10,DSRCT11,DSRCT12,DSRCT13,DSRCT14,DSRCT15,DSRCT16,DSRCT17,DSRCT18,ERMS0,ERMS1,ERMS2,ERMS3,ERMS4,ERMS5,ERMS6,ERMS7,ERMS8,OST0,EWS0,EWS1,EWS2,EWS3,EWS4,EWS5,EWS6,EWS7,EWS8,EWS9,EWS10,EWS11,OST1,OST2,OST3,OST4,OST5,OST6,OST7,OST8,OST9,OST10,OST11,OST12,OST13,OST14,OST15,OST16,OST17,OST18,OST19,OST20,OST21,OST22,OST23,OST24,OST25,OST26,OST27,OST28,DSRCT19
DSRCT10,0.0394009813249798,0.0376986874921265,0.0433037595113849,0.0548820780875898,0.0456851612647052,0.0443294239082075,0.028164366162957,0.0451084190461193,0.0587560441164556,0.0521200500557784,0.0,0.0714552536092498,0.0491962747591132,0.0609861775087907,0.0542030616879986,0.1244117366480526,0.0625801270952475,0.0561477593733075,0.0575756996651897,0.1552573021490487,0.0863552639593111,0.0885809011458998,0.0829289062633315,0.0780306607548286,0.0838093053388387,0.077828350934033,0.070395650914971,0.0849222666389155,0.078613100480085,0.1032691577532461,0.0836604866386274,0.0759198155187658,0.1166608288665936,0.0902014147796795,0.1023631978069613,0.0897392848997622,0.0884309770565328,0.1298981549064046,0.0878362651596347,0.0977866976087675,0.1063049544165567,0.084622993346758,0.0759644874566036,0.0849498125082885,0.0891669667389477,0.0840979828146011,0.0789184425539713,0.0836261019195505,0.0891779056383117,0.0798076506839038,0.0780647967306616,0.0887945909484286,0.0738393753843665,0.0827248726395342,0.0852107234317781,0.0965486250070536,0.0940967320424892,0.0773020755825031,0.0809426440429393,0.0902441611816376,0.0929891190514664,0.0874717004352559,0.0850812673294282,0.0990063289962698,0.0796570637808574,0.0758733241887954,0.0841636110283864,0.0933116985772628,0.0871214702134338,0.0676813454862237
DSRCT11,0.0752373289071016,0.0724085740018758,0.073675795882597,0.0577728149121568,0.0686293878329535,0.0741487587818782,0.0713142921438147,0.0707920727385981,0.0699198368739165,0.0726299808557908,0.0714552536092498,0.0,0.0710152644884277,0.0705036371695961,0.0738595359591994,0.1118724491077771,0.0741034982113747,0.0678238381139717,0.0738891670327416,0.1663135979368799,0.1080572338826044,0.0863836946520918,0.086990223841772,0.0868146408193747,0.1021779496125041,0.0817816770734962,0.0805170254843418,0.0990425288171668,0.1035521092508529,0.0957131291051443,0.0911408972397967,0.0876827049042394,0.0982747476812792,0.0840053192644012,0.084250759776083,0.0814321843397149,0.0860123438678605,0.1214326196398965,0.0713727641584826,0.0805988126410204,0.0900002239835928,0.0907396144214069,0.0893399961795694,0.087239937173237,0.0872422022274416,0.095890093999522,0.0825291999100031,0.0865492221068934,0.0875074466925024,0.0867905880476455,0.0808588843524819,0.0942519753342054,0.0847069357056971,0.0848881230020529,0.0872314560343838,0.0956115330930452,0.0822992627524934,0.0873068683450522,0.0906613075181868,0.0938221052486307,0.0974446664861302,0.0885991856333852,0.0924498817940961,0.0917686763414145,0.0844104404166601,0.0956546191756024,0.088916110090184,0.0936067700241202,0.0946217749373772,0.0865849259842584
DSRCT12,0.0595561621557575,0.0586557818295929,0.0611625664745549,0.0529023738401754,0.0587436388666808,0.0417011732498357,0.0515247147197006,0.0620107825450193,0.0546457051999598,0.0551989390592617,0.0491962747591132,0.0710152644884277,0.0,0.0679452468430544,0.0360943276060748,0.1088196901653979,0.045973237959719,0.0518065568093888,0.0582460629135659,0.1579714833820081,0.084814485602707,0.0864097029183305,0.0813184627145346,0.0740692461670155,0.0810609959727047,0.070802168270234,0.0669024740514744,0.0846224082090553,0.076788651129758,0.0943265631490029,0.0757738573050554,0.0697865570333645,0.1098639167000862,0.0827651884236492,0.095422103516739,0.0818121676665034,0.0813345840090518,0.1259697078395702,0.0813588540344897,0.0902988132697436,0.1013084845605906,0.0775281273228398,0.0743830711383745,0.0760384334250665,0.0838268688396336,0.0827947162688783,0.0707145320400692,0.0762944333851595,0.0823586869972713,0.0772361633094812,0.0697415975293608,0.0831620163036847,0.0719380966937349,0.0735706733937275,0.0785640939312257,0.0863463674249866,0.0851908266212238,0.074485275518003,0.080657210507154,0.0843391038687708,0.0878694862737466,0.082894040061459,0.0776840834964024,0.0937283603488971,0.0756170710371236,0.0757083001227747,0.0833743933103873,0.0859402678958603,0.080855474100183,0.0636934270902883
DSRCT13,0.0589422558194659,0.0558948499760285,0.0586325534067232,0.0627118022917417,0.0594194661944433,0.0690201971724963,0.0580893546872521,0.0593365796657342,0.0619645794868441,0.0746312756019117,0.0609861775087907,0.0705036371695961,0.0679452468430544,0.0,0.0733940030826837,0.119521698236732,0.0752712201812278,0.0635676732310621,0.0521044335713931,0.1777611939010807,0.114474173633946,0.1012685882418882,0.0925550605186376,0.1064422619329391,0.1088782173487981,0.1013743543827437,0.0931647430058292,0.1041781426601545,0.1108408451183626,0.0978635221410161,0.1154705988237356,0.0889191711099436,0.1011252832073668,0.0904038348804791,0.0940501833274265,0.0910928603509344,0.0990489409968874,0.122169243922888,0.0869653203178867,0.0957769234897992,0.0940020726520237,0.1125923536924917,0.099991464164685,0.1014869015984968,0.1003829726447434,0.1011265387960622,0.0970886976148025,0.1115101944835932,0.1092026793174851,0.0995243796236256,0.0990784867317666,0.1058946609215969,0.0976183680917288,0.1048619675137371,0.1052382776886658,0.1210909299726228,0.0997967739187944,0.1020728836934365,0.0991865178902716,0.1108013497184925,0.1230554428872862,0.0979862305005125,0.1127037667001266,0.097079494015937,0.1068734242493146,0.1077852766564535,0.0999719217839415,0.1136960101424246,0.1123884798743839,0.0652579734429167
DSRCT14,0.0650244392066908,0.0652549164082059,0.0677196339185376,0.0584432565855088,0.0643336622467554,0.048820847964363,0.0573948904093523,0.0675788352469775,0.0619340170682067,0.0578405393570673,0.0542030616879986,0.0738595359591994,0.0360943276060748,0.0733940030826837,0.0,0.1099899754281523,0.0347232193493218,0.0528953636350071,0.0580635106397481,0.1601704142915191,0.0871807856983442,0.093323925852802,0.0866802337810097,0.076272190245446,0.0847736660680739,0.0733859899217828,0.0734355826633093,0.0874987256484609,0.0802532139196843,0.1021768818079048,0.078455705842841,0.078573511669082,0.1159767354177105,0.0902513402771193,0.1018829768740537,0.0875419812235842,0.0846813247066324,0.1308639112528071,0.0858286689529597,0.0960102770983584,0.1072189338731876,0.0821103928580636,0.0820637090778639,0.0787256292118534,0.0895094403300453,0.0872062961109042,0.0757596966362655,0.0818134745202719,0.0859447028658208,0.0822116312461033,0.0763440750863166,0.0872258467562237,0.079410457354619,0.0813928503752961,0.082798238810688,0.0920077757333232,0.0875404436102802,0.078728157395574,0.0854874626850262,0.085496164003896,0.0903780794483017,0.0862188145200821,0.0823592404890491,0.0964951264440689,0.0803881585062669,0.0790333292227191,0.0880410065585991,0.0873020817752027,0.0829364867891452,0.0625370067457462
DSRCT15,0.12027577872593,0.1223016558960656,0.1232062118503757,0.1077237530651322,0.1163515624060975,0.1185710739554089,0.1194675136642016,0.1172291260429789,0.1112236118012447,0.1314882176687765,0.1244117366480526,0.1118724491077771,0.1088196901653979,0.119521698236732,0.1099899754281523,0.0,0.0865175694109161,0.0906514064928151,0.1139327840238653,0.2134701750784598,0.1507426013941284,0.1360910989013812,0.1231119259965892,0.1323045624138143,0.1440990865871869,0.1240173655378503,0.1222013108229637,0.1088930669053883,0.1500271894860105,0.1343586689481498,0.1366724901718334,0.1305406981225834,0.1202737508379911,0.1299502997928861,0.1151657238806402,0.1167399905329116,0.1137543656842904,0.1565082900949912,0.1143928732425472,0.1161705494522162,0.11616028291424,0.1328900079186243,0.1304305444088865,0.1198635090299745,0.1166018161481463,0.1263086184805358,0.1203998512893078,0.1335404875832873,0.1222133339448196,0.1189201531718271,0.1196983535372852,0.1249864565328405,0.1310596022821492,0.1296767551399972,0.1287390916763291,0.1353884989777646,0.1066936007076453,0.1293924110662238,0.1235868889818454,0.1208030653592297,0.1528555142734269,0.1146524459767303,0.1368277657752937,0.1179724119277811,0.1350129796318732,0.1394167888988091,0.1237948157278576,0.1086726801817194,0.1214714361546133,0.0974340963771024
DSRCT16,0.0632480586099318,0.0670959793868424,0.0672436263718412,0.0598051998781718,0.0608503027493934,0.0560315791667929,0.0597989809504209,0.0646190188070547,0.0608182908064074,0.0686883069733381,0.0625801270952475,0.0741034982113747,0.045973237959719,0.0752712201812278,0.0347232193493218,0.0865175694109161,0.0,0.0384678907835649,0.0601754729464886,0.167964843586106,0.0976538280067046,0.0990423271480231,0.0868335970790768,0.0810481800317159,0.0926722316781673,0.0805380274096893,0.0763896828940724,0.0771886045081465,0.0948192308535962,0.1005550960687323,0.0846715096186602,0.0846400991926463,0.1079912457253893,0.0906631659463926,0.0961419753015543,0.085109991689729,0.0819069647178186,0.1319529366913664,0.0857601392399201,0.0927360791606473,0.1032303654959961,0.085968248607204,0.0877532529434066,0.0807661331288839,0.0888734533578114,0.0893307797728202,0.0792749444438403,0.0874883695208606,0.0852964515982711,0.0841346303663055,0.0795347937669626,0.0869612259756519,0.0843608245510322,0.0850712325185472,0.0886686061807067,0.0946698795074537,0.0801900303867495,0.083230022348014,0.0884154140808145,0.0848287679222971,0.102224294554919,0.0838774121064811,0.0897890795108534,0.0948717237653206,0.0896917348681122,0.0894943945654974,0.0923731451663495,0.0799552614999948,0.0832394417657986,0.0541347437528014
DSRCT17,0.0571109865837186,0.0590528687552579,0.0611214311734158,0.0577539404113395,0.0555174386238907,0.0518720269697926,0.0523723430595365,0.0575053386237756,0.0576583618471925,0.0660411835084498,0.0561477593733075,0.0678238381139717,0.0518065568093888,0.0635676732310621,0.0528953636350071,0.0906514064928151,0.0384678907835649,0.0,0.051140799841118,0.170714304050734,0.0969835670564627,0.0923628719925249,0.0799278439714126,0.0817612063549407,0.0908969982983439,0.0815782993759672,0.07418401462699,0.0749178745922856,0.0964074782911112,0.0961332945678924,0.0877043990936345,0.0809551491665621,0.1025096539202209,0.0866208189906518,0.0891566060829533,0.0783464202193874,0.0773052699709437,0.1261155013207761,0.0805715425854561,0.0858153773444706,0.0946067905567967,0.0893522250728233,0.0851439662624285,0.0803140888896353,0.0851618230976822,0.0883563969933252,0.0786484121227245,0.0898612529983039,0.088098651553758,0.0837002052708566,0.0797180447818709,0.0866201246980072,0.0818836854615663,0.084481912673382,0.0887681325139743,0.0965018163981609,0.0789074217603678,0.0836486477233368,0.0861623753398737,0.0862105420283207,0.1050869031363736,0.0812782527518137,0.0913575375998084,0.0919266612041944,0.0895538855433913,0.0909418527416907,0.0905789234002857,0.0817547486420745,0.0838024730218428,0.0536286309725989
DSRCT18,0.0586168884283957,0.0603257030182231,0.0628028627710732,0.061122752648857,0.0613199768443092,0.0593683699023319,0.0563855443240802,0.0606052709845702,0.0612840104172356,0.0677115386078053,0.0575756996651897,0.0738891670327416,0.0582460629135659,0.0521044335713931,0.0580635106397481,0.1139327840238653,0.0601754729464886,0.051140799841118,0.0,0.1763133169436164,0.1058305060654101,0.1008750204475939,0.0923999567259274,0.0993545151453466,0.101526161420613,0.0968950678032973,0.0895793781398638,0.1007118603447537,0.1038304388170722,0.1056562726408282,0.1064389420766829,0.0894394629438221,0.1113980490525073,0.0970027562303687,0.0998204854619413,0.0938303127157158,0.0950243665027209,0.1292754573706995,0.091594753404494,0.101356452238742,0.1008157427393274,0.1065728743147718,0.1003690055104096,0.0961356283124249,0.0999349417581106,0.097847713852221,0.0946682567227172,0.1067554005799372,0.1035010880484729,0.0966022869045028,0.0957171531093884,0.1009314604220014,0.0976742221669901,0.1012433186225559,0.1012896790683911,0.1144604252694055,0.0987442339753362,0.0975437436582339,0.0977694173266257,0.1015875970220535,0.1175571217177133,0.0953003246725128,0.1061076225011158,0.0992485159184274,0.1030245259330638,0.1027123818526332,0.0981491711027847,0.1041194305986913,0.102097132504653,0.0561170681295597
ERMS0,0.1625336144071289,0.1615695612564698,0.1628162852643277,0.164393035598803,0.1614132564967181,0.1558203992430678,0.1573293322264806,0.1628146460619475,0.1651564411311088,0.1554547528947389,0.1552573021490487,0.1663135979368799,0.1579714833820081,0.1777611939010807,0.1601704142915191,0.2134701750784598,0.167964843586106,0.170714304050734,0.1763133169436164,0.0,0.1655445279565182,0.1805632342974042,0.1775543565893574,0.1568743350120875,0.1641182443637369,0.1569296011972572,0.1568528687451252,0.1725427630087367,0.1520103009657507,0.1804920014304449,0.1514974328085269,0.166075901395058,0.1972146034102681,0.1703637582385515,0.1852230751107948,0.1750084969722502,0.1727296755040874,0.2092146294524423,0.1724452360450976,0.1778240330633265,0.1972873391184506,0.1528611393342265,0.1595620613095091,0.1628284078932168,0.1686974977028285,0.1709593193913805,0.1580723070831504,0.1535198774534324,0.1634858491305922,0.1614903372173164,0.1597909992256046,0.1661868590368535,0.1564200784606941,0.1586445576548465,0.1622743147719007,0.1632030099164402,0.1732655854553614,0.1523176311512151,0.1660496522748193,0.1672095701604112,0.1541408215558733,0.1734127424098452,0.1552833006680751,0.1847608671575448,0.1549023086388853,0.1555111241930215,0.1733371680321213,0.1716461807147555,0.1648271469827024,0.181910284484689
ERMS1,0.1019911030872287,0.1015837479679278,0.1043816829668614,0.1027823910162792,0.1043036120447117,0.0853269404499258,0.0919722777424076,0.1059124910774953,0.1069349082553392,0.0874631148275396,0.0863552639593111,0.1080572338826044,0.084814485602707,0.114474173633946,0.0871807856983442,0.1507426013941284,0.0976538280067046,0.0969835670564627,0.1058305060654101,0.1655445279565182,0.0,0.0970812684731803,0.083157918862663,0.0611540253350195,0.0242072452135645,0.0789838236468708,0.0812214328174776,0.0956169004737108,0.0822397500295362,0.1195189118490868,0.0845911690088704,0.0937994688240193,0.1413866887589453,0.1071536806607101,0.1264518292129788,0.1091524310938621,0.1073649870415283,0.1513803227000129,0.1103209047342354,0.1182279281274,0.1339590165297988,0.088136568068376,0.0877976223767988,0.0901601006111811,0.1076767383707645,0.1052921887369414,0.090603610215009,0.090032811190933,0.1029355923995705,0.1001315524018321,0.0926248493795426,0.0976910640558976,0.0827686818657035,0.0884906766910413,0.0951576700911701,0.0985066849213724,0.1079264687727045,0.0923413833789736,0.1012224337430708,0.1009980946006685,0.0932826261420086,0.1040647785398841,0.0943762575833888,0.117518062407837,0.0868412363861072,0.0840019407012265,0.1098428890742097,0.1014968786112547,0.0931193930907514,0.1145384556463479
